url,title,h1,meta_description,canonical,image_count,page_json,page_type
https://oakfarm.vn/team/jay-nguyen/,Jay Nguyen - Oak Farm,Jay Nguyen,Architect Jay Nguyen - Design team leader for projects working directly with foreign partners and investors,https://oakfarm.vn/team/jay-nguyen/,6,/Users/bephi/data/oakfarm_full_output/pages/team__jay-nguyen.json,team
https://oakfarm.vn/team/thuy-duong/,Thùy Dương - Oak Farm,Thùy Dương,Kiến trúc sư,https://oakfarm.vn/team/thuy-duong/,6,/Users/bephi/data/oakfarm_full_output/pages/team__thuy-duong.json,team
https://oakfarm.vn/team/be-ngan/,Bệ Ngạn - Oak Farm,Bệ Ngạn,"Kiến trúc sư Bệ Ngạn - Trưởng nhóm thiết kế các dự án làm việc trực tiếp với đối tác, chủ đầu tư trong nước.",https://oakfarm.vn/team/be-ngan/,6,/Users/bephi/data/oakfarm_full_output/pages/team__be-ngan.json,team
https://oakfarm.vn/team/hang-can/,Hằng Cận - Oak Farm,Hằng Cận,"Kiến trúc sư chuyên thiết kế Farmstay, Homestay của nhà Oak Farm. Đứng đầu team thiết kế quy hoạch tổng thể.",https://oakfarm.vn/team/hang-can/,5,/Users/bephi/data/oakfarm_full_output/pages/team__hang-can.json,team
https://oakfarm.vn/team/huong-le/,Hương Lê - Oak Farm,Hương Lê,,https://oakfarm.vn/team/huong-le/,6,/Users/bephi/data/oakfarm_full_output/pages/team__huong-le.json,team
https://oakfarm.vn/team/quoc-hai/,Quốc Hải - Oak Farm,Quốc Hải,,https://oakfarm.vn/team/quoc-hai/,5,/Users/bephi/data/oakfarm_full_output/pages/team__quoc-hai.json,team
