url,title,h1,meta_description,canonical,image_count,page_json,page_type
https://oakfarm.vn/category/khong-phan-loai/,Lưu trữ Chưa phân loại - Oak Farm,Giới thiệu về chúng tôi,,https://oakfarm.vn/category/khong-phan-loai/,8,/Users/bephi/data/oakfarm_full_output/pages/category__khong-phan-loai.json,categories
https://oakfarm.vn/category/mo-hinh/,Lưu trữ Mô hình - Oak Farm,Giới thiệu về chúng tôi,,https://oakfarm.vn/category/mo-hinh/,8,/Users/bephi/data/oakfarm_full_output/pages/category__mo-hinh.json,categories
https://oakfarm.vn/tag/farmstay/,Lưu trữ Farmstay - Oak Farm,Giới thiệu về chúng tôi,,https://oakfarm.vn/tag/farmstay/,9,/Users/bephi/data/oakfarm_full_output/pages/tag__farmstay.json,tags
https://oakfarm.vn/tag/homestay/,Lưu trữ Homestay - Oak Farm,Giới thiệu về chúng tôi,,https://oakfarm.vn/tag/homestay/,9,/Users/bephi/data/oakfarm_full_output/pages/tag__homestay.json,tags
https://oakfarm.vn/tag/oak-farm/,Lưu trữ Oak Farm - Oak Farm,Giới thiệu về chúng tôi,,https://oakfarm.vn/tag/oak-farm/,8,/Users/bephi/data/oakfarm_full_output/pages/tag__oak-farm.json,tags
https://oakfarm.vn/project-category/miennam/,Lưu trữ Miền Nam - Oak Farm,Giới thiệu về chúng tôi,,https://oakfarm.vn/project-category/miennam/,7,/Users/bephi/data/oakfarm_full_output/pages/project-category__miennam.json,project_categories
https://oakfarm.vn/project-category/mientrung/,Lưu trữ Miền Trung - Oak Farm,Giới thiệu về chúng tôi,,https://oakfarm.vn/project-category/mientrung/,14,/Users/bephi/data/oakfarm_full_output/pages/project-category__mientrung.json,project_categories
https://oakfarm.vn/project-category/nuocngoai/,Lưu trữ Nước Ngoài - Oak Farm,Giới thiệu về chúng tôi,,https://oakfarm.vn/project-category/nuocngoai/,6,/Users/bephi/data/oakfarm_full_output/pages/project-category__nuocngoai.json,project_categories
https://oakfarm.vn/author/admin/,"admin, Tác giả tại Oak Farm",Giới thiệu về chúng tôi,,https://oakfarm.vn/author/admin/,9,/Users/bephi/data/oakfarm_full_output/pages/author__admin.json,authors
